Pre-attentive Processing,6,248,2,8,High,Color_Size,0
Pre-attentive Processing,6,249,2,9,High,Size,0
Pre-attentive Processing,6,250,2,10,High,Color,0
Pre-attentive Processing,6,251,2,11,High,Color_Size,0
Pre-attentive Processing,6,252,2,12,High,Size,0
Pre-attentive Processing,6,253,2,13,High,Color,0
Pre-attentive Processing,6,254,2,14,High,Color_Size,0
Pre-attentive Processing,6,255,2,15,High,Size,0
Pre-attentive Processing,6,256,3,1,Medium,Color,0
Pre-attentive Processing,6,257,3,2,Medium,Color_Size,0
Pre-attentive Processing,6,258,3,3,Medium,Size,0
Pre-attentive Processing,6,259,3,4,Medium,Color,0
Pre-attentive Processing,6,260,3,5,Medium,Color_Size,0
Pre-attentive Processing,6,261,3,6,Medium,Size,0
Pre-attentive Processing,6,262,3,7,Medium,Color,0
Pre-attentive Processing,6,263,3,8,Medium,Color_Size,0
Pre-attentive Processing,6,264,3,9,Medium,Size,0
Pre-attentive Processing,6,265,3,10,Medium,Color,0
Pre-attentive Processing,6,266,3,11,Medium,Color_Size,0
Pre-attentive Processing,6,267,3,12,Medium,Size,0
Pre-attentive Processing,6,268,3,13,Medium,Color,0
Pre-attentive Processing,6,269,3,14,Medium,Color_Size,0
Pre-attentive Processing,6,270,3,15,Medium,Size,0
